step,value
0,2505.0
1,2450.0
2,2440.0
3,2395.0
4,2365.0
5,2355.0
6,2385.0
7,2380.0
8,2375.0
9,2437.0
10,2368.0
11,2368.0
12,2380.0
13,2385.0
14,2420.0
15,2400.0
16,2363.0
17,2340.0
18,2370.0
19,2335.0
20,2325.0
21,2340.0
22,2320.0
23,2290.0
24,2272.0
25,2275.0
26,2280.0
27,2310.0
28,2305.0
29,2290.0
30,2310.0
31,2315.0
32,2300.0
33,2305.0
34,2305.0
35,2300.0
36,2304.0
37,2295.0
38,2310.0
39,2360.0
40,2390.0
41,2390.0
42,2390.0
43,2390.0
44,2350.0
45,2360.0
46,2325.0
47,2315.0
48,2325.0
49,2325.0
50,2340.0
51,2340.0
52,2360.0
53,2365.0
54,2360.0
55,2365.0
56,2405.0
57,2410.0
58,2400.0
59,2390.0
60,2400.0
61,2465.0
62,2465.0
63,2475.0
64,2480.0
65,2490.0
66,2515.0
67,2570.0
68,2600.0
69,2660.0
70,2700.0
71,2660.0
72,2665.0
73,2710.0
74,2770.0
75,2860.0
76,2790.0
77,2795.0
78,2840.0
79,2815.0
80,2760.0
81,2750.0
82,2775.0
83,2705.0
84,2685.0
85,2690.0
86,2735.0
87,2745.0
88,2790.0
89,2815.0
90,2740.0
91,2750.0
92,2815.0
93,2750.0
94,2740.0
95,2710.0
96,2750.0
97,2765.0
98,2770.0
99,2680.0
100,2665.0
101,2710.0
102,2670.0
103,2675.0
104,2650.0
105,2700.0
106,2725.0
107,2725.0
108,2730.0
109,2800.0
110,2790.0
111,2805.0
112,2830.0
113,2845.0
114,2915.0
115,2920.0
116,2905.0
117,2895.0
118,2850.0
119,2855.0
120,2850.0
121,2910.0
122,2930.0
123,2955.0
124,2910.0
125,2890.0
126,2860.0
127,2810.0
128,2740.0
129,2720.0
130,2760.0
131,2770.0
132,2735.0
133,2740.0
134,2775.0
135,2775.0
136,2780.0
137,2755.0
138,2766.0
139,2875.0
140,2815.0
141,2810.0
142,2760.0
143,2750.0
144,2755.0
145,2750.0
146,2850.0
147,2860.0
148,2875.0
149,2810.0
150,2830.0
151,2870.0
152,2860.0
153,2855.0
154,2865.0
155,2935.0
156,2935.0
157,2920.0
158,2940.0
159,2910.0
160,2935.0
161,2940.0
162,2930.0
163,2950.0
164,2990.0
165,3065.0
166,3095.0
167,3130.0
168,3068.0
169,3030.0
170,3070.0
171,3095.0
172,3043.0
173,2945.0
174,2910.0
175,2865.0
176,2800.0
177,2805.0
178,2715.0
179,2647.0
180,2555.0
181,2500.0
182,2675.0
183,2645.0
184,2680.0
185,2680.0
186,2685.0
187,2715.0
188,2705.0
189,2670.0
190,2625.0
191,2610.0
192,2605.0
193,2665.0
194,2725.0
195,2680.0
196,2695.0
197,2705.0
198,2680.0
199,2695.0
200,2705.0
201,2695.0
202,2610.0
203,2615.0
204,2595.0
205,2584.0
206,2565.0
207,2495.0
208,2476.0
209,2440.0
210,2502.0
211,2495.0
212,2420.0
213,2420.0
214,2435.0
215,2495.0
216,2500.0
217,2475.0
218,2520.0
219,2490.0
220,2486.0
221,2525.0
222,2475.0
223,2465.0
224,2518.0
225,2543.0
226,2560.0
227,2600.0
228,2563.0
229,2570.0
230,2545.0
231,2525.0
232,2550.0
233,2480.0
234,2455.0
235,2435.0
236,2465.0
237,2465.0
238,2480.0
239,2450.0
240,2425.0
241,2465.0
242,2487.0
243,2480.0
244,2480.0
245,2515.0
246,2565.0
247,2520.0
248,2526.0
249,2572.0
250,2550.0
251,2529.0
252,2490.0
253,2485.0
254,2550.0
255,2558.0
256,2558.0
257,2526.0
258,2535.0
259,2570.0
260,2583.0
261,2572.0
262,2540.0
263,2480.0
264,2485.0
265,2485.0
266,2500.0
267,2505.0
268,2510.0
269,2510.0
270,2511.0
271,2497.0
272,2510.0
273,2467.0
274,2445.0
275,2440.0
276,2440.0
277,2392.0
278,2372.0
279,2390.0
280,2393.0
281,2394.0
282,2362.0
283,2326.0
284,2345.0
285,2350.0
286,2354.0
287,2355.0
288,2336.0
289,2370.0
290,2357.0
291,2345.0
292,2322.0
293,2328.0
294,2348.0
295,2332.0
296,2305.0
297,2287.0
298,2243.0
299,2150.0
300,2222.0
301,2216.0
302,2205.0
303,2245.0
304,2235.0
305,2225.0
306,2290.0
307,2283.0
308,2252.0
309,2230.0
310,2250.0
311,2246.0
312,2235.0
313,2228.0
314,2180.0
315,2145.0
316,2115.0
317,2123.0
318,2148.0
