step,value
0,384.0
1,397.5
2,408.0
3,402.5
4,418.5
5,424.5
6,454.0
7,499.5
8,587.0
9,597.0
10,601.5
11,615.0
12,649.5
13,636.0
14,635.0
15,636.0
16,644.5
17,649.5
18,656.0
19,658.0
20,681.5
21,689.0
22,700.5
23,710.5
24,762.0
25,835.5
26,906.5
27,920.0
28,950.0
29,973.0
30,1076.5
31,1163.0
32,1234.5
33,1359.5
34,1411.5
35,1429.5
36,1455.0
37,1483.0
38,1505.5
39,1594.5
40,1668.5
41,1713.5
42,1698.0
43,1764.0
44,1958.5
45,1952.5
46,1976.0
47,1981.5
48,2052.0
49,2128.5
50,2100.0
51,2132.0
52,2186.0
53,2256.5
54,2561.0
55,2534.0
56,2747.5
57,2895.0
58,3007.5
59,2961.5
60,2972.5
61,2966.0
62,3088.0
63,3119.5
64,3241.0
65,3535.0
66,3543.0
67,3541.0
68,3646.5
69,3730.0
70,3791.0
71,3814.5
72,3798.0
73,3830.0
74,3829.0
75,3874.0
76,3891.0
77,3872.5
78,3885.5
79,3874.0
80,3943.0
81,4019.5
82,4087.0
83,4041.5
84,4057.0
85,4395.0
86,4407.0
87,4575.5
88,4661.5
89,4672.5
90,4655.5
91,4593.5
92,4719.5
93,4754.0
94,4656.5
95,4615.5
96,4490.5
97,4593.0
98,4707.5
99,4793.0
100,4847.0
101,4840.5
102,4848.5
103,4913.5
104,4875.0
105,4855.0
106,4876.5
107,4894.5
108,5057.0
109,5024.5
110,5112.5
111,5409.5
112,5529.5
113,5588.0
114,5683.0
115,5771.0
116,5987.5
117,6122.5
118,6114.5
119,6164.5
120,6118.5
121,6151.0
122,6170.5
123,6156.5
124,6286.0
125,6296.0
126,6294.0
127,6399.5
128,6462.0
129,6529.0
130,6565.5
131,6599.5
132,6582.0
133,6648.0
134,6636.0
135,6609.0
136,6736.0
137,6655.5
138,6601.5
139,6619.5
140,6621.5
141,6659.0
142,6650.5
143,6617.5
144,6612.5
145,6452.0
146,6503.5
147,6619.0
148,6739.5
149,6792.5
150,6857.5
151,6851.0
152,6940.5
153,6889.0
154,7118.0
155,7257.5
156,7268.5
157,7346.5
158,7422.5
159,7666.0
160,7729.5
161,7777.0
162,8050.5
163,8143.5
164,8338.5
165,8502.5
166,8614.5
167,8749.0
168,8964.5
169,9607.5
170,9725.0
171,9279.5
172,9321.5
173,9332.0
174,9253.5
175,9110.5
176,8961.5
177,8802.0
178,8666.0
179,8663.5
180,8398.0
181,8241.5
182,8239.5
183,8291.0
184,8122.5
185,8075.5
186,7601.0
187,7397.5
188,7469.0
189,7381.0
190,7126.5
191,6956.5
192,6833.0
193,7086.5
194,6704.0
195,6624.0
196,6369.5
197,6075.5
198,5989.0
199,5926.0
200,5817.0
201,5539.5
202,5399.5
203,5200.0
204,4918.0
205,4448.5
206,4245.5
207,3914.5
208,3560.0
209,2789.5
210,2248.0
