step,value
0,2673.9
1,2585.7
2,2509.9
3,2449.8
4,2466.7
5,2485.8
6,2399.0
7,2418.8
8,2433.8
9,2434.3
10,2390.2
11,2395.4
12,2396.3
13,2392.4
14,2398.1
15,2382.4
16,2404.8
17,2370.3
18,2342.7
19,2342.8
20,2330.7
21,2328.7
22,2222.0
23,2256.3
24,2131.4
25,2096.5
26,2067.6
27,2146.8
28,2141.1
29,2197.5
30,2172.6
31,2151.2
32,2111.1
33,2160.3
34,2132.8
35,2052.6
36,2093.5
37,2210.3
38,2190.7
39,2122.5
40,2051.1
41,2014.9
42,2058.6
43,2055.4
44,2032.4
45,2074.5
46,2180.3
47,2155.5
48,2180.7
49,2206.0
50,2204.1
51,2158.3
52,2115.6
53,2109.5
54,2082.7
55,2089.6
56,2092.5
57,2047.6
58,2022.4
59,2023.6
60,1969.6
61,1941.1
62,1944.2
63,1985.8
64,1970.9
65,1989.7
66,1941.2
67,1963.0
68,1996.6
69,1940.0
70,1880.1
71,1935.6
72,1859.3
73,1787.7
74,1775.0
75,1653.7
76,1595.5
77,1605.7
78,1634.6
79,1596.7
80,1638.4
81,1721.7
82,1696.2
83,1693.1
84,1661.5
85,1637.1
86,1693.4
87,1746.5
88,1735.8
89,1717.7
90,1771.4
91,1733.8
92,1746.1
93,1829.6
94,1834.0
95,1843.1
96,1908.4
97,1873.5
98,1817.7
99,1822.6
100,1831.6
101,1814.4
102,1742.0
103,1738.9
104,1703.9
105,1777.4
106,1834.1
107,1836.7
108,1774.0
109,1737.7
110,1703.6
111,1709.5
112,1695.5
113,1510.2
114,1507.4
115,1539.2
116,1518.1
117,1489.6
118,1476.9
119,1463.7
120,1515.9
121,1483.5
122,1515.3
123,1508.4
124,1434.9
125,1403.5
126,1402.4
127,1392.9
128,1367.1
129,1361.5
130,1367.2
131,1434.5
132,1408.6
133,1381.9
134,1393.4
135,1405.0
136,1380.5
137,1414.3
138,1474.2
139,1515.1
140,1513.6
141,1526.7
142,1522.1
143,1462.6
144,1434.9
145,1437.4
146,1417.7
147,1438.3
148,1443.5
149,1462.2
150,1480.9
151,1458.8
152,1458.1
153,1516.9
154,1503.5
155,1517.7
156,1556.6
157,1581.6
158,1631.9
159,1650.6
160,1686.7
161,1674.3
162,1704.9
163,1642.3
164,1569.5
165,1575.0
166,1571.1
167,1627.8
168,1671.5
169,1710.6
170,1803.2
171,1897.1
172,1976.8
173,1894.6
174,1962.4
175,1848.9
176,1858.2
177,1904.9
178,1800.8
179,1705.4
180,1702.1
181,1631.1
182,1646.7
183,1735.9
184,1692.5
185,1715.6
186,1793.4
187,1821.2
188,1779.2
189,1781.4
190,1834.5
191,1836.2
192,1862.2
193,1851.6
194,1814.6
195,1760.3
196,1733.1
197,1737.3
198,1742.7
199,1732.8
200,1812.8
201,1840.7
202,1816.9
203,1896.7
204,1922.4
205,1838.6
206,1853.9
207,1947.7
208,1958.7
209,1969.1
210,1945.0
211,1968.7
212,1964.8
213,1959.2
214,1948.1
215,1936.5
216,1942.9
217,1939.8
218,1934.3
219,1890.8
220,1839.7
221,1830.9
222,1812.2
223,1801.9
224,1776.2
225,1828.2
226,1830.6
227,1849.3
228,1874.6
229,1867.9
230,1910.2
231,1904.2
232,1938.4
233,1995.7
234,2002.4
235,2033.2
236,1960.7
237,1903.8
238,1925.1
239,1931.1
240,1927.6
241,1933.2
242,1956.1
243,2000.0
244,2023.2
245,1988.0
246,2008.3
247,1934.3
248,1951.9
249,1978.3
250,1943.0
251,1945.5
252,1984.9
253,1934.4
254,1902.5
255,1904.0
256,1914.0
257,1918.6
258,1952.3
259,2009.6
260,1986.5
261,2062.9
262,2115.0
263,2064.5
264,2136.7
265,2109.4
266,2074.6
267,2065.3
268,1984.6
269,1973.0
270,1931.7
271,2007.2
272,1924.1
273,1939.2
274,2005.1
275,2003.4
276,2014.1
277,2003.6
278,1989.1
279,2018.4
280,1999.0
281,2006.2
282,1919.6
283,1832.8
284,1864.5
285,1915.0
286,1964.4
287,1977.4
288,2018.9
289,2082.5
290,2059.7
291,1983.0
