step,actual,seasonal_naive,dlinear,autoformer,fedformer,patchtst,nbeats,timesnet,helformer,auto_arima,ets
0,6995.0,7025.0,6929.47900390625,6918.42529296875,6915.33984375,6921.3154296875,7040.76123046875,6934.95458984375,6912.783035522446,6937.0,6937.003300360001
1,6944.0,7016.0,6924.6015625,6898.767578125,6902.48046875,6909.017578125,7062.28759765625,6935.7470703125,6905.939865143348,6937.0,6937.003300360001
2,6898.0,7052.0,6917.1630859375,6871.55615234375,6897.9208984375,6881.0693359375,7083.80810546875,6942.306640625,6919.705856773094,6937.0,6937.003300360001
3,6873.0,7007.0,6913.45458984375,6853.9296875,6895.046875,6863.23486328125,7101.173828125,6947.005859375,6908.966196360707,6937.0,6937.003300360001
4,6814.0,7006.0,6917.4892578125,6863.45654296875,6890.052734375,6855.49365234375,7125.447265625,6953.123046875,6899.200782184341,6937.0,6937.003300360001
5,6842.0,6970.0,6928.13232421875,6889.521484375,6879.66357421875,6845.849609375,7138.47314453125,6960.75634765625,6882.4180431197965,6937.0,6937.003300360001
6,6816.0,6937.0,6936.05908203125,6905.6435546875,6871.5615234375,6828.1640625,7147.14697265625,6972.9716796875,6863.335275658083,6937.0,6937.003300360001
7,6809.0,7025.0,6942.2646484375,6904.9052734375,6862.47021484375,6815.3017578125,7155.5244140625,6983.62841796875,6855.412134653094,6937.0,6937.003300360001
8,6802.0,7016.0,6943.41748046875,6917.7333984375,6855.08740234375,6815.259765625,7156.6796875,6995.2216796875,6848.829303852763,6937.0,6937.003300360001
9,6805.0,7052.0,6945.3828125,6938.39990234375,6845.380859375,6824.9072265625,7166.673828125,7014.69873046875,6862.766209334985,6937.0,6937.003300360001
10,6834.0,7007.0,6946.75390625,6954.16064453125,6833.8076171875,6837.921875,7169.04931640625,7032.19384765625,6852.470116364166,6937.0,6937.003300360001
11,6809.0,7006.0,6949.2392578125,6953.6591796875,6825.20703125,6845.3701171875,7163.02587890625,7047.17529296875,6843.1873252410005,6937.0,6937.003300360001
12,6878.0,6970.0,6949.30615234375,6931.3310546875,6816.572265625,6842.54248046875,7176.34521484375,7056.287109375,6826.947095746153,6937.0,6937.003300360001
13,6833.0,6937.0,6945.73046875,6908.0693359375,6810.24560546875,6834.4794921875,7180.38330078125,7066.63134765625,6808.382399883356,6937.0,6937.003300360001
