step,actual,seasonal_naive,dlinear,autoformer,fedformer,patchtst,nbeats,timesnet,helformer,auto_arima,ets
0,2036.5,1963.5,2023.0657958984375,2014.167236328125,2047.20849609375,2016.987060546875,1969.337158203125,2024.216796875,2016.389595049906,2026.491610738255,2024.500299869986
1,2042.0,1969.0,2022.7930908203125,2017.7181396484375,2041.4798583984375,2015.91259765625,1974.9013671875,2023.9776611328125,2020.125978066155,2028.4832214765102,2024.500299869986
2,2063.5,1979.5,2014.969482421875,2021.32666015625,2045.998291015625,2010.939208984375,1976.8919677734375,2023.90478515625,2021.6964423140864,2030.4748322147652,2024.500299869986
3,2058.5,2000.5,2016.475830078125,2020.767822265625,2047.4932861328125,2009.1470947265625,1974.5457763671875,2024.276123046875,2028.200052982461,2032.46644295302,2024.500299869986
4,2045.5,2014.5,2010.267333984375,2026.6094970703125,2053.553466796875,2010.671630859375,1978.49755859375,2024.743408203125,2032.920704515265,2034.4580536912752,2024.500299869986
5,2058.0,2027.5,2005.2955322265625,2029.903076171875,2053.0390625,2014.5723876953125,1982.7174072265625,2025.530517578125,2033.231837653972,2036.4496644295302,2024.500299869986
6,2042.5,2024.5,2002.6484375,2027.7110595703125,2059.34326171875,2013.70263671875,1982.7266845703125,2026.8599853515625,2039.3829513311216,2038.441275167785,2024.500299869986
7,2058.0,1963.5,1999.625732421875,2028.1217041015625,2060.87451171875,2011.3570556640625,1981.20263671875,2028.0045166015625,2039.967944541576,2040.4328859060402,2024.500299869986
8,2044.5,1969.0,2001.4063720703125,2037.3665771484375,2056.2822265625,2012.8511962890625,1983.14111328125,2029.2945556640625,2043.4214587559425,2042.4244966442952,2024.500299869986
9,2058.0,1979.5,1999.419677734375,2045.5203857421875,2057.207275390625,2017.45556640625,1990.244140625,2031.1846923828125,2044.8089251583651,2044.4161073825503,2024.500299869986
10,2028.0,2000.5,1999.33544921875,2048.453369140625,2057.6904296875,2019.2381591796875,1989.76025390625,2032.213623046875,2051.225959244578,2046.4077181208054,2024.500299869986
11,2008.0,2014.5,2001.5540771484375,2049.855224609375,2057.949951171875,2025.267578125,1987.439208984375,2032.6829833984375,2055.879348020633,2048.3993288590605,2024.500299869986
12,2015.0,2027.5,2005.582275390625,2054.27734375,2059.42578125,2031.5880126953125,1992.57861328125,2034.00048828125,2056.1070477020826,2050.3909395973155,2024.500299869986
13,2043.0,2024.5,2006.579833984375,2056.090576171875,2060.68505859375,2038.7139892578125,1996.0576171875,2035.48095703125,2062.2706494297117,2052.3825503355706,2024.500299869986
