step,value
0,1109.3
1,1099.3
2,1102.2
3,1117.3
4,1110.6
5,1110.3
6,1098.3
7,1101.2
8,1116.2
9,1105.8
10,1105.5
11,1120.2
12,1121.2
13,1127.7
14,1134.1
15,1135.1
16,1135.9
17,1134.6
18,1131.4
19,1127.4
20,1144.5
21,1125.3
22,1124.0
23,1122.5
24,1108.9
25,1114.2
26,1103.4
27,1102.1
28,1112.3
29,1121.3
30,1120.3
31,1124.8
32,1137.3
33,1147.9
34,1140.6
35,1142.3
36,1153.9
37,1167.5
38,1157.5
39,1154.8
40,1156.6
41,1155.0
42,1159.2
43,1165.6
44,1164.1
45,1169.2
46,1170.2
47,1173.9
48,1173.0
49,1157.5
50,1171.6
51,1172.0
52,1176.0
53,1179.5
54,1174.1
55,1168.5
56,1167.5
57,1175.8
58,1164.6
59,1154.3
60,1135.0
61,1126.6
62,1122.9
63,1110.6
64,1119.4
65,1130.9
66,1123.5
67,1103.1
68,1106.5
69,1125.0
70,1106.6
71,1111.6
72,1110.3
73,1118.6
74,1113.9
75,1101.0
76,1097.2
77,1086.2
78,1079.9
79,1038.0
80,1053.1
81,1061.6
82,1041.0
83,1030.3
84,1050.2
85,1058.6
86,1065.1
87,1069.9
88,1063.7
89,1071.4
90,1097.6
91,1120.0
92,1132.5
93,1124.7
94,1120.9
95,1117.2
96,1135.2
97,1132.6
98,1122.6
99,1121.0
100,1092.4
101,1091.0
102,1105.0
103,1112.0
104,1095.5
105,1093.5
106,1078.1
107,1084.7
108,1077.0
109,1082.5
110,1088.9
111,1081.9
112,1088.4
113,1071.2
114,1067.5
115,1088.5
116,1120.0
117,1095.5
118,1086.0
119,1104.0
120,1101.2
121,1108.7
122,1105.2
123,1099.5
124,1085.5
125,1093.5
126,1083.3
127,1072.5
128,1076.5
129,1094.0
130,1098.3
131,1109.9
132,1114.0
133,1100.2
134,1088.7
135,1125.0
136,1125.5
137,1112.5
138,1088.0
139,1079.0
140,1084.3
141,1083.0
142,1080.5
143,1084.0
144,1092.0
145,1090.5
146,1092.0
147,1080.0
148,1084.5
149,1083.0
150,1095.0
151,1091.0
152,1088.0
153,1105.5
154,1109.0
155,1116.0
156,1117.5
157,1113.5
158,1117.5
159,1114.5
160,1111.5
161,1102.0
162,1109.0
163,1115.0
164,1102.8
165,1105.2
166,1098.0
167,1103.0
168,1086.5
169,1069.0
170,1062.5
171,1077.0
172,1081.5
173,1080.0
174,1060.0
175,1069.0
176,1067.5
177,1079.0
178,1085.5
179,1096.8
180,1091.5
181,1066.5
182,1040.0
183,1026.0
184,1020.0
185,1014.0
186,1007.5
187,1011.0
188,980.0
189,955.0
190,960.5
191,980.5
192,1002.0
193,989.5
194,995.0
195,997.5
196,1004.5
197,976.4
198,967.5
199,1000.0
200,997.0
201,999.4
202,1022.0
203,1028.0
204,1022.5
205,1023.5
206,1027.5
207,1074.0
208,1075.5
209,1070.0
210,1060.5
211,1068.0
212,1067.5
213,1080.5
214,1086.0
215,1093.5
216,1093.5
217,1095.5
218,1084.0
219,1101.1
220,1101.5
221,1099.3
222,1094.0
223,1100.5
224,1098.5
225,1091.0
226,1095.0
227,1126.5
228,1136.5
229,1134.9
230,1137.5
231,1136.5
232,1127.5
233,1119.0
