step,value
0,7725.0
1,7701.0
2,7740.0
3,7744.0
4,7766.0
5,7765.0
6,7743.0
7,7755.0
8,7819.0
9,7899.0
10,8048.0
11,8125.0
12,8174.0
13,8155.0
14,8152.0
15,8126.0
16,8140.0
17,8199.0
18,8165.0
19,8163.0
20,8253.0
21,8225.0
22,8247.0
23,8235.0
24,8270.0
25,8350.0
26,8309.0
27,8286.0
28,8320.0
29,8261.0
30,8382.0
31,8377.0
32,8475.0
33,8392.0
34,8425.0
35,8501.0
36,8513.0
37,8467.0
38,8517.0
39,8564.0
40,8569.0
41,8575.0
42,8495.0
43,8513.0
44,8542.0
45,8539.0
46,8573.0
47,8549.0
48,8502.0
49,8380.0
50,8481.0
51,8460.0
52,8441.0
53,8401.0
54,8450.0
55,8364.0
56,8345.0
57,8345.0
58,8252.0
59,8303.0
60,8294.0
61,8281.0
62,8282.0
63,8219.0
64,8214.0
65,8258.0
66,8353.0
67,8285.0
68,8209.0
69,8163.0
70,8214.0
71,8193.0
72,8222.0
73,8173.0
74,8113.0
75,8060.0
76,8081.0
77,8016.0
78,8016.0
79,8070.0
80,8076.0
81,8070.0
82,8095.0
83,8028.0
84,7961.0
85,7957.0
86,7895.0
87,7907.0
88,7935.0
89,7948.0
90,7955.0
91,7950.0
92,7954.0
93,8039.0
94,8005.0
95,8048.0
96,8157.0
97,8173.0
98,8169.0
99,8181.0
100,8092.0
101,8142.0
102,8176.0
103,8166.0
104,8139.0
105,8124.0
106,8035.0
107,8025.0
108,8053.0
109,7957.0
110,7978.0
111,7954.0
112,7986.0
113,7953.0
114,7898.0
115,7925.0
116,7872.0
117,7856.0
118,7809.0
119,7844.0
120,7842.0
121,7847.0
122,7836.0
123,7738.0
124,7720.0
125,7720.0
126,7760.0
127,7742.0
128,7786.0
129,7846.0
130,7801.0
131,7773.0
132,7725.0
133,7717.0
134,7722.0
135,7703.0
136,7753.0
137,7752.0
138,7744.0
139,7775.0
140,7715.0
141,7790.0
142,7773.0
143,7762.0
144,7765.0
145,7720.0
146,7716.0
147,7662.0
148,7601.0
149,7589.0
150,7576.0
151,7588.0
152,7584.0
153,7549.0
154,7567.0
155,7578.0
156,7518.0
157,7463.0
158,7406.0
159,7421.0
160,7295.0
161,7304.0
162,7301.0
163,7143.0
164,7123.0
165,7080.0
166,7167.0
167,7182.0
168,7091.0
169,7080.0
170,7110.0
171,7196.0
172,7084.0
173,7106.0
174,7081.0
175,7054.0
176,6899.0
177,6803.0
178,6838.0
179,6765.0
180,6881.0
181,6986.0
182,6979.0
183,6963.0
184,7075.0
185,7230.0
186,7285.0
187,7167.0
188,7110.0
189,7063.0
190,7027.0
191,7007.0
192,7138.0
193,7289.0
194,7247.0
195,7243.0
196,7239.0
197,7153.0
198,7209.0
199,7216.0
200,7142.0
201,7115.0
202,7115.0
203,7068.0
204,7117.0
205,7096.0
206,7057.0
207,7095.0
208,7178.0
209,7197.0
210,7220.0
211,7348.0
212,7386.0
213,7352.0
214,7322.0
215,7181.0
216,7168.0
217,7238.0
218,7229.0
219,7185.0
220,7068.0
221,7062.0
222,7072.0
223,7058.0
224,6983.0
225,7025.0
226,7016.0
227,7052.0
228,7007.0
229,7006.0
230,6970.0
231,6937.0
